TextID,TextType,STTR
EOR_001.txt,EO,0.3225
EOR_002.txt,EO,0.30800000000000005
EOR_003.txt,EO,0.2935
EOR_004.txt,EO,0.2575
EOR_005.txt,EO,0.3115
EOR_006.txt,EO,0.33599999999999997
EOR_007.txt,EO,0.347
EOR_008.txt,EO,0.33499999999999996
EOR_009.txt,EO,0.3285
EOR_010.txt,EO,0.3605
EOR_011.txt,EO,0.345
EOR_012.txt,EO,0.3025
EOR_013.txt,EO,0.34149999999999997
EOR_014.txt,EO,0.331
EOR_015.txt,EO,0.328
EOR_016.txt,EO,0.29000000000000004
EOR_017.txt,EO,0.30900000000000005
EOR_018.txt,EO,0.3285
EOR_019.txt,EO,0.3095
EOR_020.txt,EO,0.3015
EOR_021.txt,EO,0.33899999999999997
EOR_022.txt,EO,0.323
EOR_023.txt,EO,0.25949999999999995
EOR_024.txt,EO,0.23399999999999999
EOR_025.txt,EO,0.26949999999999996
EOR_026.txt,EO,0.325
EOR_027.txt,EO,0.2845
EOR_028.txt,EO,0.32
EOR_029.txt,EO,0.303
EOR_030.txt,EO,0.3045
EOR_031.txt,EO,0.33099999999999996
EOR_032.txt,EO,0.3315
EOR_033.txt,EO,0.2905
EOR_034.txt,EO,0.2395
EOR_035.txt,EO,0.3145
EOR_036.txt,EO,0.298
EOR_037.txt,EO,0.329
EOR_038.txt,EO,0.33
EOR_039.txt,EO,0.3085
EOR_040.txt,EO,0.3255
EOR_041.txt,EO,0.33699999999999997
EOR_042.txt,EO,0.28800000000000003
EOR_043.txt,EO,0.361
EOR_044.txt,EO,0.3205
EOR_045.txt,EO,0.322
EOR_046.txt,EO,0.33399999999999996
EOR_047.txt,EO,0.3175
EOR_048.txt,EO,0.3045
EOR_049.txt,EO,0.319
EOR_050.txt,EO,0.28
EOR_051.txt,EO,0.3285
EOR_052.txt,EO,0.327
EOR_053.txt,EO,0.326
EOR_054.txt,EO,0.3125
EOR_055.txt,EO,0.2955
EOR_056.txt,EO,0.316
EOR_057.txt,EO,0.34099999999999997
EOR_058.txt,EO,0.314
EOR_059.txt,EO,0.291
EOR_060.txt,EO,0.3185
EOR_061.txt,EO,0.317
EOR_062.txt,EO,0.299
EOR_063.txt,EO,0.34099999999999997
EOR_064.txt,EO,0.33799999999999997
EOR_065.txt,EO,0.329
EOR_066.txt,EO,0.3355
EOR_067.txt,EO,0.3135
EOR_068.txt,EO,0.3085
EOR_069.txt,EO,0.3155
EOR_070.txt,EO,0.3865
EOR_071.txt,EO,0.2765
EOR_072.txt,EO,0.349
EOR_073.txt,EO,0.34750000000000003
EOR_074.txt,EO,0.3045
EOR_075.txt,EO,0.34750000000000003
EOR_076.txt,EO,0.3055
EOR_077.txt,EO,0.3185
EOR_078.txt,EO,0.3345
EOR_079.txt,EO,0.3375
EOR_080.txt,EO,0.309
EOR_081.txt,EO,0.3165
EOR_082.txt,EO,0.309
EOR_083.txt,EO,0.3165
EOR_084.txt,EO,0.319
EOR_085.txt,EO,0.281
EOR_086.txt,EO,0.252
EOR_087.txt,EO,0.3175
EOR_088.txt,EO,0.2895
EOR_089.txt,EO,0.26549999999999996
EOR_090.txt,EO,0.2985
EOR_091.txt,EO,0.275
EOR_092.txt,EO,0.3255
EOR_093.txt,EO,0.258
EOR_094.txt,EO,0.325
EOR_095.txt,EO,0.273
EOR_096.txt,EO,0.316
EOR_097.txt,EO,0.2765
EOR_098.txt,EO,0.3045
EOR_099.txt,EO,0.3345
EOR_100.txt,EO,0.3115
HTREN_001.txt,HT,0.268
HTREN_002.txt,HT,0.256
HTREN_003.txt,HT,0.30400000000000005
HTREN_004.txt,HT,0.234
HTREN_005.txt,HT,0.269
HTREN_006.txt,HT,0.303
HTREN_007.txt,HT,0.242
HTREN_008.txt,HT,0.16133333333333333
HTREN_009.txt,HT,0.2475
HTREN_010.txt,HT,0.25
HTREN_011.txt,HT,0.28600000000000003
HTREN_012.txt,HT,0.26466666666666666
